坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
觀塘轉車站-觀塘市中心 (KT351)	观塘转车站-观塘市中心 (KT351)
觀塘轉車站-觀塘市中心 (KT352)	观塘转车站-观塘市中心 (KT352)
豐力樓, 龍翔道眺望處 (SS193)	丰力楼, 龙翔道眺望处 (SS193)
賽西湖大廈(樹仁大學) (ED280)	赛西湖大厦(树仁大学) (ED280)
長沙灣(海盈邨) 總站 (SS914)	长沙湾(海盈邨) 总站 (SS914)
香港兒童醫院(落客站) (KA530)	香港儿童医院(落客站) (KA530)
香港青年協會李兆基書院 (TN532)	香港青年协会李兆基书院 (TN532)
香港青年協會李兆基書院 (TN533)	香港青年协会李兆基书院 (TN533)
黃大仙總站 (落客站) (WT920)	黄大仙总站 (落客站) (WT920)
黃大仙轉車站-沙田坳道 (WT209)	黄大仙转车站-沙田坳道 (WT209)
黃大仙轉車站-沙田坳道 (WT210)	黄大仙转车站-沙田坳道 (WT210)
黃大仙轉車站-黃大仙廟 (WT203)	黄大仙转车站-黄大仙庙 (WT203)
黃大仙轉車站-黃大仙廟 (WT204)	黄大仙转车站-黄大仙庙 (WT204)
黃大仙轉車站-黃大仙廟 (WT205)	黄大仙转车站-黄大仙庙 (WT205)
黃大仙轉車站-黃大仙廟 (WT206)	黄大仙转车站-黄大仙庙 (WT206)
黃大仙轉車站-黃大仙廟 (WT207)	黄大仙转车站-黄大仙庙 (WT207)
黃大仙轉車站-黃大仙廟 (WT208)	黄大仙转车站-黄大仙庙 (WT208)
黃大仙轉車站-黃大仙廟 (WT713)	黄大仙转车站-黄大仙庙 (WT713)
黃大仙轉車站-黃大仙廟 (WT714)	黄大仙转车站-黄大仙庙 (WT714)
黃大仙轉車站-黃大仙廟 (WT716)	黄大仙转车站-黄大仙庙 (WT716)
黃大仙轉車站-黃大仙廟 (WT717)	黄大仙转车站-黄大仙庙 (WT717)
黃大仙轉車站-黃大仙廟 (WT718)	黄大仙转车站-黄大仙庙 (WT718)
